Date,Product_ID,Product_Name,Category,Units_Sold,Unit_Price,Profit_Per_Unit,Total_Sale,Total_Profit,Invoice_No,Store_ID,Tax_Amount,Discount_Amount,Payment_Mode,Customer_ID,Cashier_ID,Barcode,Batch_No,Supplier,Is_Return,Expiry_Date,Current_Stock,Reorder_Level
2026-04-01,P016,Salsa,Snacks,1,3.95,1.05,3.95,1.05,INV-20260401-0181,STORE-001,0.2,0.0,Cash,CU0219,C04,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,2,2.9,0.82,5.8,1.64,INV-20260401-0181,STORE-001,0.29,0.0,Cash,CU0219,C04,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,3,3.8,0.95,11.4,2.85,INV-20260401-0221,STORE-001,0.57,0.0,Card,CU0031,C02,,,,,,,
2026-04-01,P014,Biscuits,Snacks,1,2.6,0.78,2.52,0.7,INV-20260401-0221,STORE-001,0.13,0.08,Card,CU0031,C02,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,1.99,0.44,INV-20260401-0221,STORE-001,0.1,0.11,Card,CU0031,C02,,,,,,,
2026-04-01,P009,Pasta,Pantry,1,2.35,0.7,2.28,0.63,INV-20260401-0221,STORE-001,0.11,0.07,Card,CU0031,C02,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,3,3.8,0.95,11.4,2.85,INV-20260401-0281,STORE-001,0.57,0.0,Wallet,CU0046,C01,,,,,,,
2026-04-01,P020,Yogurt Cups,Dairy,2,3.4,0.88,6.8,1.76,INV-20260401-0281,STORE-001,0.34,0.0,Wallet,CU0046,C01,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,1,5.25,1.65,4.99,1.39,INV-20260401-0291,STORE-001,0.25,0.26,UPI,CU0060,C05,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,2,4.75,1.45,9.5,2.9,INV-20260401-0291,STORE-001,0.48,0.0,UPI,CU0060,C05,,,,,,,
2026-04-01,P016,Salsa,Snacks,2,3.95,1.05,7.5,1.7,INV-20260401-0291,STORE-001,0.38,0.4,UPI,CU0060,C05,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,2,2.9,0.82,5.63,1.47,INV-20260401-0291,STORE-001,0.28,0.17,UPI,CU0060,C05,,,,,,,
2026-04-01,P001,Bananas,Produce,1,0.62,0.23,0.62,0.23,INV-20260401-0291,STORE-001,0.03,0.0,UPI,CU0060,C05,,,,,,,
2026-04-01,P014,Biscuits,Snacks,3,2.6,0.78,7.57,2.11,INV-20260401-0291,STORE-001,0.38,0.23,UPI,CU0060,C05,,,,,,,
2026-04-01,P014,Biscuits,Snacks,2,2.6,0.78,5.2,1.56,INV-20260401-0021,STORE-001,0.26,0.0,Wallet,CU0192,C06,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,2,4.75,1.45,9.22,2.62,INV-20260401-0021,STORE-001,0.46,0.28,Wallet,CU0192,C06,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,3,5.25,1.65,15.75,4.95,INV-20260401-0021,STORE-001,0.79,0.0,Wallet,CU0192,C06,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,2,2.9,0.82,5.51,1.35,INV-20260401-0021,STORE-001,0.28,0.29,Wallet,CU0192,C06,,,,,,,
2026-04-01,P009,Pasta,Pantry,2,2.35,0.7,4.7,1.4,INV-20260401-0021,STORE-001,0.24,0.0,Wallet,CU0192,C06,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.8,0.95,INV-20260401-0021,STORE-001,0.19,0.0,Wallet,CU0192,C06,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.27,1.01,INV-20260401-0021,STORE-001,0.21,0.23,Wallet,CU0192,C06,,,,,,,
2026-04-01,P006,Butter,Dairy,3,4.4,1.05,13.2,3.15,INV-20260401-0021,STORE-001,0.66,0.0,Wallet,CU0192,C06,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,1.99,0.44,INV-20260401-0021,STORE-001,0.1,0.11,Wallet,CU0192,C06,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.27,1.01,INV-20260401-0301,STORE-001,0.21,0.23,Card,CU0060,C04,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,3,3.8,0.95,11.4,2.85,INV-20260401-0301,STORE-001,0.57,0.0,Card,CU0060,C04,,,,,,,
2026-04-01,P012,Sugar,Pantry,1,2.2,0.52,2.09,0.41,INV-20260401-0281,STORE-001,0.1,0.11,Wallet,CU0046,C01,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,2,2.9,0.82,5.8,1.64,INV-20260401-0141,STORE-001,0.29,0.0,Cash,CU0078,C06,,,,,,,
2026-04-01,P011,Coffee,Beverages,2,8.9,2.8,17.27,5.07,INV-20260401-0281,STORE-001,0.86,0.53,Wallet,CU0046,C01,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.61,0.76,INV-20260401-0271,STORE-001,0.18,0.19,Card,CU0130,C04,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,1,5.25,1.65,5.25,1.65,INV-20260401-0231,STORE-001,0.26,0.0,UPI,CU0068,C05,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,3,4.75,1.45,14.25,4.35,INV-20260401-0231,STORE-001,0.71,0.0,UPI,CU0068,C05,,,,,,,
2026-04-01,P014,Biscuits,Snacks,1,2.6,0.78,2.6,0.78,INV-20260401-0231,STORE-001,0.13,0.0,UPI,CU0068,C05,,,,,,,
2026-04-01,P006,Butter,Dairy,1,4.4,1.05,4.4,1.05,INV-20260401-0061,STORE-001,0.22,0.0,Cash,CU0053,C01,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,1,2.25,0.62,2.25,0.62,INV-20260401-0241,STORE-001,0.11,0.0,Cash,CU0143,C05,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.8,0.95,INV-20260401-0241,STORE-001,0.19,0.0,Cash,CU0143,C05,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,3,2.9,0.82,8.27,2.03,INV-20260401-0241,STORE-001,0.41,0.43,Cash,CU0143,C05,,,,,,,
2026-04-01,P012,Sugar,Pantry,2,2.2,0.52,4.18,0.82,INV-20260401-0241,STORE-001,0.21,0.22,Cash,CU0143,C05,,,,,,,
2026-04-01,P011,Coffee,Beverages,2,8.9,2.8,17.8,5.6,INV-20260401-0251,STORE-001,0.89,0.0,Card,CU0068,C01,,,,,,,
2026-04-01,P012,Sugar,Pantry,1,2.2,0.52,2.2,0.52,INV-20260401-0251,STORE-001,0.11,0.0,Card,CU0068,C01,,,,,,,
2026-04-01,P002,Apples,Produce,3,1.15,0.37,3.45,1.11,INV-20260401-0251,STORE-001,0.17,0.0,Card,CU0068,C01,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,2,4.75,1.45,9.22,2.62,INV-20260401-0251,STORE-001,0.46,0.28,Card,CU0068,C01,,,,,,,
2026-04-01,P016,Salsa,Snacks,2,3.95,1.05,7.9,2.1,INV-20260401-0251,STORE-001,0.4,0.0,Card,CU0068,C01,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,2,5.25,1.65,10.18,2.98,INV-20260401-0261,STORE-001,0.51,0.32,Cash,CU0035,C04,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,1,4.75,1.45,4.75,1.45,INV-20260401-0261,STORE-001,0.24,0.0,Cash,CU0035,C04,,,,,,,
2026-04-01,P016,Salsa,Snacks,2,3.95,1.05,7.5,1.7,INV-20260401-0261,STORE-001,0.38,0.4,Cash,CU0035,C04,,,,,,,
2026-04-01,P013,Tea Bags,Beverages,3,4.3,1.2,12.51,3.21,INV-20260401-0261,STORE-001,0.63,0.39,Cash,CU0035,C04,,,,,,,
2026-04-01,P012,Sugar,Pantry,2,2.2,0.52,4.4,1.04,INV-20260401-0261,STORE-001,0.22,0.0,Cash,CU0035,C04,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,1,2.25,0.62,2.14,0.51,INV-20260401-0271,STORE-001,0.11,0.11,Card,CU0130,C04,,,,,,,
2026-04-01,P009,Pasta,Pantry,2,2.35,0.7,4.7,1.4,INV-20260401-0271,STORE-001,0.24,0.0,Card,CU0130,C04,,,,,,,
2026-04-01,P018,Cooking Oil,Staples,2,9.8,1.9,19.6,3.8,INV-20260401-0301,STORE-001,0.98,0.0,Card,CU0060,C04,,,,,,,
2026-04-01,P018,Cooking Oil,Staples,1,9.8,1.9,9.51,1.61,INV-20260401-0141,STORE-001,0.48,0.29,Cash,CU0078,C06,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,1,2.25,0.62,2.18,0.55,INV-20260401-0141,STORE-001,0.11,0.07,Cash,CU0078,C06,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,1,5.25,1.65,5.09,1.49,INV-20260401-0071,STORE-001,0.25,0.16,Cash,CU0022,C03,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,3,4.75,1.45,14.25,4.35,INV-20260401-0071,STORE-001,0.71,0.0,Cash,CU0022,C03,,,,,,,
2026-04-01,P017,Rice 5kg,Staples,1,12.5,2.1,12.12,1.72,INV-20260401-0071,STORE-001,0.61,0.38,Cash,CU0022,C03,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,2,2.1,0.55,4.2,1.1,INV-20260401-0081,STORE-001,0.21,0.0,Card,CU0203,C02,,,,,,,
2026-04-01,P006,Butter,Dairy,2,4.4,1.05,8.36,1.66,INV-20260401-0081,STORE-001,0.42,0.44,Card,CU0203,C02,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,3,2.25,0.62,6.75,1.86,INV-20260401-0081,STORE-001,0.34,0.0,Card,CU0203,C02,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.22,1.52,INV-20260401-0081,STORE-001,0.36,0.38,Card,CU0203,C02,,,,,,,
2026-04-01,P009,Pasta,Pantry,1,2.35,0.7,2.23,0.58,INV-20260401-0081,STORE-001,0.11,0.12,Card,CU0203,C02,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,1,2.9,0.82,2.81,0.73,INV-20260401-0071,STORE-001,0.14,0.09,Cash,CU0022,C03,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,1,2.9,0.82,2.9,0.82,INV-20260401-0081,STORE-001,0.14,0.0,Card,CU0203,C02,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,3,4.75,1.45,13.82,3.92,INV-20260401-0081,STORE-001,0.69,0.43,Card,CU0203,C02,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,3,2.1,0.55,6.11,1.46,INV-20260401-0091,STORE-001,0.31,0.19,UPI,CU0123,C06,,,,,,,
2026-04-01,P006,Butter,Dairy,2,4.4,1.05,8.8,2.1,INV-20260401-0091,STORE-001,0.44,0.0,UPI,CU0123,C06,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.27,1.01,INV-20260401-0091,STORE-001,0.21,0.23,UPI,CU0123,C06,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.22,1.52,INV-20260401-0091,STORE-001,0.36,0.38,UPI,CU0123,C06,,,,,,,
2026-04-01,P009,Pasta,Pantry,2,2.35,0.7,4.7,1.4,INV-20260401-0091,STORE-001,0.24,0.0,UPI,CU0123,C06,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,3,2.9,0.82,8.44,2.2,INV-20260401-0091,STORE-001,0.42,0.26,UPI,CU0123,C06,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,1,5.25,1.65,5.25,1.65,INV-20260401-0091,STORE-001,0.26,0.0,UPI,CU0123,C06,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,2,5.25,1.65,10.18,2.98,INV-20260401-0081,STORE-001,0.51,0.32,Card,CU0203,C02,,,,,,,
2026-04-01,P009,Pasta,Pantry,2,2.35,0.7,4.7,1.4,INV-20260401-0071,STORE-001,0.24,0.0,Cash,CU0022,C03,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.8,0.95,INV-20260401-0071,STORE-001,0.19,0.0,Cash,CU0022,C03,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,1,2.25,0.62,2.18,0.55,INV-20260401-0071,STORE-001,0.11,0.07,Cash,CU0022,C03,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.5,1.24,INV-20260401-0061,STORE-001,0.23,0.0,Cash,CU0053,C01,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.8,0.95,INV-20260401-0061,STORE-001,0.19,0.0,Cash,CU0053,C01,,,,,,,
2026-04-01,P009,Pasta,Pantry,2,2.35,0.7,4.56,1.26,INV-20260401-0061,STORE-001,0.23,0.14,Cash,CU0053,C01,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,1,2.9,0.82,2.9,0.82,INV-20260401-0061,STORE-001,0.14,0.0,Cash,CU0053,C01,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,2,5.25,1.65,9.97,2.77,INV-20260401-0061,STORE-001,0.5,0.53,Cash,CU0053,C01,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,3,4.75,1.45,14.25,4.35,INV-20260401-0061,STORE-001,0.71,0.0,Cash,CU0053,C01,,,,,,,
2026-04-01,P002,Apples,Produce,3,1.15,0.37,3.28,0.94,INV-20260401-0061,STORE-001,0.16,0.17,Cash,CU0053,C01,,,,,,,
2026-04-01,P013,Tea Bags,Beverages,3,4.3,1.2,12.9,3.6,INV-20260401-0061,STORE-001,0.65,0.0,Cash,CU0053,C01,,,,,,,
2026-04-01,P014,Biscuits,Snacks,2,2.6,0.78,5.2,1.56,INV-20260401-0051,STORE-001,0.26,0.0,Wallet,CU0105,C05,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,1,4.75,1.45,4.61,1.31,INV-20260401-0051,STORE-001,0.23,0.14,Wallet,CU0105,C05,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,3,5.25,1.65,15.75,4.95,INV-20260401-0051,STORE-001,0.79,0.0,Wallet,CU0105,C05,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,3,2.9,0.82,8.7,2.46,INV-20260401-0051,STORE-001,0.43,0.0,Wallet,CU0105,C05,,,,,,,
2026-04-01,P009,Pasta,Pantry,2,2.35,0.7,4.7,1.4,INV-20260401-0051,STORE-001,0.24,0.0,Wallet,CU0105,C05,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.6,1.9,INV-20260401-0051,STORE-001,0.38,0.0,Wallet,CU0105,C05,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,1,2.25,0.62,2.18,0.55,INV-20260401-0051,STORE-001,0.11,0.07,Wallet,CU0105,C05,,,,,,,
2026-04-01,P006,Butter,Dairy,3,4.4,1.05,13.2,3.15,INV-20260401-0051,STORE-001,0.66,0.0,Wallet,CU0105,C05,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,2,2.1,0.55,4.2,1.1,INV-20260401-0051,STORE-001,0.21,0.0,Wallet,CU0105,C05,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,2.1,0.55,INV-20260401-0071,STORE-001,0.11,0.0,Cash,CU0022,C03,,,,,,,
2026-04-01,P006,Butter,Dairy,2,4.4,1.05,8.36,1.66,INV-20260401-0071,STORE-001,0.42,0.44,Cash,CU0022,C03,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,2,4.75,1.45,9.02,2.42,INV-20260401-0091,STORE-001,0.45,0.48,UPI,CU0123,C06,,,,,,,
2026-04-01,P002,Apples,Produce,2,1.15,0.37,2.3,0.74,INV-20260401-0091,STORE-001,0.11,0.0,UPI,CU0123,C06,,,,,,,
2026-04-01,P017,Rice 5kg,Staples,2,12.5,2.1,25.0,4.2,INV-20260401-0091,STORE-001,1.25,0.0,UPI,CU0123,C06,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,2.04,0.49,INV-20260401-0101,STORE-001,0.1,0.06,Wallet,CU0197,C02,,,,,,,
2026-04-01,P006,Butter,Dairy,1,4.4,1.05,4.4,1.05,INV-20260401-0041,STORE-001,0.22,0.0,Wallet,CU0008,C01,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,3,2.1,0.55,5.98,1.33,INV-20260401-0041,STORE-001,0.3,0.32,Wallet,CU0008,C01,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,2,2.1,0.55,3.99,0.89,INV-20260401-0121,STORE-001,0.2,0.21,Cash,CU0154,C04,,,,,,,
2026-04-01,P006,Butter,Dairy,2,4.4,1.05,8.36,1.66,INV-20260401-0121,STORE-001,0.42,0.44,Cash,CU0154,C04,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,3,2.25,0.62,6.55,1.66,INV-20260401-0121,STORE-001,0.33,0.2,Cash,CU0154,C04,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,3,3.8,0.95,11.4,2.85,INV-20260401-0121,STORE-001,0.57,0.0,Cash,CU0154,C04,,,,,,,
2026-04-01,P009,Pasta,Pantry,2,2.35,0.7,4.46,1.16,INV-20260401-0121,STORE-001,0.22,0.24,Cash,CU0154,C04,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,3,2.9,0.82,8.7,2.46,INV-20260401-0121,STORE-001,0.43,0.0,Cash,CU0154,C04,,,,,,,
2026-04-01,P014,Biscuits,Snacks,1,2.6,0.78,2.6,0.78,INV-20260401-0121,STORE-001,0.13,0.0,Cash,CU0154,C04,,,,,,,
2026-04-01,P013,Tea Bags,Beverages,3,4.3,1.2,12.9,3.6,INV-20260401-0121,STORE-001,0.65,0.0,Cash,CU0154,C04,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,2.1,0.55,INV-20260401-0131,STORE-001,0.11,0.0,UPI,CU0113,C01,,,,,,,
2026-04-01,P006,Butter,Dairy,1,4.4,1.05,4.18,0.83,INV-20260401-0131,STORE-001,0.21,0.22,UPI,CU0113,C01,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,3,2.25,0.62,6.75,1.86,INV-20260401-0131,STORE-001,0.34,0.0,UPI,CU0113,C01,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,3,3.8,0.95,10.83,2.28,INV-20260401-0131,STORE-001,0.54,0.57,UPI,CU0113,C01,,,,,,,
2026-04-01,P002,Apples,Produce,3,1.15,0.37,3.35,1.01,INV-20260401-0131,STORE-001,0.17,0.1,UPI,CU0113,C01,,,,,,,
2026-04-01,P015,Chips,Snacks,1,2.85,0.86,2.71,0.72,INV-20260401-0131,STORE-001,0.14,0.14,UPI,CU0113,C01,,,,,,,
2026-04-01,P009,Pasta,Pantry,1,2.35,0.7,2.35,0.7,INV-20260401-0131,STORE-001,0.12,0.0,UPI,CU0113,C01,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,1.99,0.44,INV-20260401-0141,STORE-001,0.1,0.11,Cash,CU0078,C06,,,,,,,
2026-04-01,P006,Butter,Dairy,3,4.4,1.05,12.54,2.49,INV-20260401-0141,STORE-001,0.63,0.66,Cash,CU0078,C06,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.27,1.01,INV-20260401-0041,STORE-001,0.21,0.23,Wallet,CU0008,C01,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.6,1.9,INV-20260401-0141,STORE-001,0.38,0.0,Cash,CU0078,C06,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.61,0.76,INV-20260401-0041,STORE-001,0.18,0.19,Wallet,CU0008,C01,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,1,2.9,0.82,2.9,0.82,INV-20260401-0041,STORE-001,0.14,0.0,Wallet,CU0008,C01,,,,,,,
2026-04-01,P006,Butter,Dairy,2,4.4,1.05,8.54,1.84,INV-20260401-0101,STORE-001,0.43,0.26,Wallet,CU0197,C02,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.36,1.1,INV-20260401-0101,STORE-001,0.22,0.14,Wallet,CU0197,C02,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.6,1.9,INV-20260401-0101,STORE-001,0.38,0.0,Wallet,CU0197,C02,,,,,,,
2026-04-01,P009,Pasta,Pantry,3,2.35,0.7,6.7,1.75,INV-20260401-0101,STORE-001,0.34,0.35,Wallet,CU0197,C02,,,,,,,
